Bitcoin,Ethereum,XRP,Bitcoin Cash,Litecoin,EOS,TRON,Cardano,Monero,NEO,IOTA,Dash,Ethereum Classic,NEM,Dogecoin,Zcash,Decred,Qtum,Bitcoin Gold,Lisk,Stellar
-3.03%,-3.48%,-3.10%,-2.09%,-4.99%,-4.29%,-2.14%,-4.58%,-6.12%,-4.44%,-4.67%,-9.93%,-1.77%,0.36%,0.10%,-6.89%,-10.72%,1.34%,-4.06%,-4.92%,-4.80%
-2.09%,-2.88%,-0.58%,-4.65%,-3.24%,-4.36%,-0.01%,-1.88%,-4.21%,-4.47%,-2.63%,-6.81%,-4.06%,-1.27%,-0.43%,-4.41%,-5.32%,-1.03%,-4.09%,-1.66%,-4.39%
1.91%,2.24%,2.21%,0.86%,2.93%,6.97%,0.47%,3.97%,2.98%,3.73%,3.54%,2.27%,4.72%,1.73%,1.05%,2.07%,1.10%,-0.33%,4.14%,2.15%,0.91%
-4.99%,-4.54%,-2.48%,-11.84%,-3.51%,-6.64%,-2.08%,-4.72%,-7.01%,-5.34%,16.87%,-6.65%,-0.86%,-0.29%,-2.50%,-7.04%,-2.50%,-0.09%,-5.14%,-6.09%,-6.99%
-2.09%,-2.68%,-3.73%,-10.94%,-0.77%,-1.35%,-2.14%,-3.00%,-4.27%,-1.55%,-21.63%,-2.44%,-3.70%,-0.77%,0.15%,-5.03%,3.51%,-0.81%,-4.02%,-2.10%,-7.49%
-0.22%,0.19%,-0.98%,-3.69%,1.36%,4.11%,-0.04%,-0.43%,-0.42%,-0.09%,3.14%,4.57%,-2.44%,0.21%,2.08%,1.85%,-3.95%,0.00%,10.47%,0.64%,-2.48%
0.51%,0.94%,0.71%,5.52%,7.61%,0.77%,1.87%,3.19%,1.20%,1.15%,1.09%,1.01%,0.24%,2.12%,0.90%,2.60%,3.67%,0.00%,-5.25%,0.98%,0.85%
9.00%,11.42%,14.01%,10.81%,13.96%,25.16%,9.10%,12.51%,11.34%,14.86%,15.81%,12.80%,10.33%,-6.25%,19.20%,9.61%,6.62%,0.50%,11.67%,9.76%,13.68%
4.27%,6.31%,6.43%,16.49%,2.99%,10.32%,4.33%,5.83%,6.22%,4.06%,12.31%,3.10%,5.02%,3.30%,5.84%,3.64%,13.74%,0.72%,2.73%,7.37%,4.25%
1.06%,-0.41%,-0.87%,21.82%,-2.13%,-5.84%,5.11%,-0.91%,-1.43%,-1.68%,-3.41%,1.06%,4.51%,-2.02%,1.72%,-1.96%,-0.92%,-2.09%,1.21%,8.47%,-0.42%
